ListNumber,ListName,Values,Text Value,,,,,,,,,,
15,DestinationLSA,433,Rental by client - HCV voucher (tenant or project based) (not dedicated),,,,,,,,,,
15,DestinationLSA,434,Rental by client - Public housing unit,,,,,,,,,,
15,DestinationLSA,436,Rental by client - Emergency Housing Voucher,,,,,,,,,,
15,DestinationLSA,437,Rental by client - Family Unification Program Voucher (FUP),,,,,,,,,,
15,DestinationLSA,438,Rental by client - Foster Youth to Independence Initiative (FYI),,,,,,,,,,
15,DestinationLSA,439,Rental by client - Permanent Supportive Housing,,,,,,,,,,
15,DestinationLSA,440,Rental by client - Other permanent housing dedicated for formerly homeless persons,,,,,,,,,,
16,TimeHousedInPSH,0,None,,,,,,,,,,
16,TimeHousedInPSH,3,Up to 3 months,,,,,,,,,,
16,TimeHousedInPSH,6,3-6 months,,,,,,,,,,
16,TimeHousedInPSH,12,6-12 months,,,,,,,,,,
16,TimeHousedInPSH,24,12-24 months,,,,,,,,,,
16,TimeHousedInPSH,36,25-36 months,,,,,,,,,,
16,TimeHousedInPSH,48,37-48 months,,,,,,,,,,
16,TimeHousedInPSH,60,49-60 months,,,,,,,,,,
16,TimeHousedInPSH,84,5-7 years,,,,,,,,,,
16,TimeHousedInPSH,120,8-10 years,,,,,,,,,,
16,TimeHousedInPSH,121,10+ years,,,,,,,,,,
17,SystemPath,-1,Not applicable,,,,,,,,,,
17,SystemPath,1,ES/SH only,,,,,,,,,,
17,SystemPath,2,TH only,,,,,,,,,,
17,SystemPath,3,ES/SH + TH only,,,,,,,,,,
17,SystemPath,4,RRH only,,,,,,,,,,
17,SystemPath,5,ES/SH + RRH only,,,,,,,,,,
17,SystemPath,6,TH + RRH only,,,,,,,,,,
17,SystemPath,7,ES/SH + TH + RRH only,,,,,,,,,,
17,SystemPath,8,PSH only,,,,,,,,,,
17,SystemPath,9,ES/SH + PSH only,,,,,,,,,,
17,SystemPath,10,ES/SH + RRH + PSH only,,,,,,,,,,
17,SystemPath,11,RRH + PSH only,,,,,,,,,,
17,SystemPath,12,All other combinations,,,,,,,,,,
18,AgeGroupLSA,-1,n/a – not served in project group,,,,,,,,,,
18,AgeGroupLSA,0,<1,,,,,,,,,,
18,AgeGroupLSA,2,1 to 2,,,,,,,,,,
18,AgeGroupLSA,5,3 to 5,,,,,,,,,,
18,AgeGroupLSA,17,6 to 17,,,,,,,,,,
18,AgeGroupLSA,21,18 to 21 ,,,,,,,,,,
18,AgeGroupLSA,24,22 to 24 ,,,,,,,,,,
18,AgeGroupLSA,34,25 to 34,,,,,,,,,,
18,AgeGroupLSA,44,35 to 44,,,,,,,,,,
18,AgeGroupLSA,54,45 to 54 ,,,,,,,,,,
18,AgeGroupLSA,64,55 to 64,,,,,,,,,,
18,AgeGroupLSA,65,65 and Older,,,,,,,,,,
18,AgeGroupLSA,98,Data not provided by client,,,,,,,,,,
18,AgeGroupLSA,99,Data not collected or invalid,,,,,,,,,,
20,NoYesOthersLSA,-1,Not applicable,,,,,,,,,,
20,NoYesOthersLSA,0,No,,,,,,,,,,
20,NoYesOthersLSA,1,Yes,,,,,,,,,,
20,NoYesOthersLSA,98,Data not provided by client,,,,,,,,,,
20,NoYesOthersLSA,99,Data not collected or invalid,,,,,,,,,,
21,CHTime,-1,Not applicable,,,,,,,,,,
21,CHTime,0,0-269 days,,,,,,,,,,
21,CHTime,270,270-364 days,,,,,,,,,,
21,CHTime,365,365+ days,,,,,,,,,,
21,CHTime,400,12 or more months in three years (3.917),,,,,,,,,,
22,CHTimeStatus,-1,Not applicable,,,,,,,,,,
22,CHTimeStatus,1,At least one continuous 365+ period,,,,,,,,,,
22,CHTimeStatus,2,4 or more times in ES/SH/Street,,,,,,,,,,
22,CHTimeStatus,3,Less than 4 times in ES/SH/Street,,,,,,,,,,
22,CHTimeStatus,99,Unknown,,,,,,,,,,
23,DVStatus,-1,Not applicable,,,,,,,,,,
23,DVStatus,0,No history of DV reported,,,,,,,,,,
23,DVStatus,1,"DV survivor, currently fleeing",,,,,,,,,,
23,DVStatus,2,"DV survivor, not currently fleeing",,,,,,,,,,
23,DVStatus,3,"DV survivor, unknown if currently fleeing",,,,,,,,,,
23,DVStatus,98,Data not provided by client,,,,,,,,,,
23,DVStatus,99,Data not collected or invalid,,,,,,,,,,
24,HHTypeCombos,-1,Not applicable,,,,,,,,,,
24,HHTypeCombos,1,AO,,,,,,,,,,
24,HHTypeCombos,2,AC,,,,,,,,,,
24,HHTypeCombos,3,CO,,,,,,,,,,
24,HHTypeCombos,9,UN,,,,,,,,,,
24,HHTypeCombos,12,AO and AC,,,,,,,,,,
24,HHTypeCombos,13,AO and CO,,,,,,,,,,
24,HHTypeCombos,19,AO and UN,,,,,,,,,,
24,HHTypeCombos,23,AC and CO,,,,,,,,,,
24,HHTypeCombos,29,AC and UN,,,,,,,,,,
24,HHTypeCombos,39,CO and UN,,,,,,,,,,
24,HHTypeCombos,123,"AO, AC, and CO",,,,,,,,,,
24,HHTypeCombos,129,"AO, AC, and UN",,,,,,,,,,
24,HHTypeCombos,139,"AO, CO, and UN",,,,,,,,,,
24,HHTypeCombos,239,"AC, CO, and UN",,,,,,,,,,
24,HHTypeCombos,1239,"AO, AC, CO, and UN",,,,,,,,,,
25,HHTypeCombosNoCO,-1,Not applicable,,,,,,,,,,
25,HHTypeCombosNoCO,1,AO,,,,,,,,,,
25,HHTypeCombosNoCO,2,AC,,,,,,,,,,
25,HHTypeCombosNoCO,9,UN,,,,,,,,,,
25,HHTypeCombosNoCO,12,AO and AC,,,,,,,,,,
25,HHTypeCombosNoCO,19,AO and UN,,,,,,,,,,
25,HHTypeCombosNoCO,29,AC and UN,,,,,,,,,,
25,HHTypeCombosNoCO,129,"AO, AC, and UN",,,,,,,,,,
27,ExitCohorts,-2,Exit in period (ReportStart - 2 years) to (ReportEnd – 2 years),,,,,,,,,,
27,ExitCohorts,-1,Exit in period (ReportStart - 1 year) to (ReportEnd – 1 year),,,,,,,,,,
27,ExitCohorts,0,"Exit in period (ReportStart) to (ReportEnd – 6 months). If ReportEnd – 6 months < ReportStart, use ReportEnd. ",,,,,,,,,,
28,ExitFrom,2,ES,,,,,,,,,,
28,ExitFrom,3,TH,,,,,,,,,,
28,ExitFrom,4,SH,,,,,,,,,,
28,ExitFrom,5,RRH after move-in to PH,,,,,,,,,,
28,ExitFrom,6,PSH after move-in to PH,,,,,,,,,,
28,ExitFrom,7,RRH without placement in PH,,,,,,,,,,
28,ExitFrom,8,PSH without placement in PH,,,,,,,,,,
28,ExitFrom,9,RRH-SO after move-in to PH,,,,,,,,,,
28,ExitFrom,10,RRH-SO without placement in PH,,,,,,,,,,
29,CohortsAll,-2,Exit in period (ReportStart - 2 years) to (ReportEnd – 2 years),,,,,,,,,,
29,CohortsAll,-1,Exit in period (ReportStart - 1 year) to (ReportEnd – 1 year),,,,,,,,,,
29,CohortsAll,0,Exit in period ReportStart to the later of (ReportEnd – 6 months) or ReportEnd,,,,,,,,,,
29,CohortsAll,1,Active in the current report period,,,,,,,,,,
29,CohortsAll,10,Active October 31,,,,,,,,,,
29,CohortsAll,11,Active January 31,,,,,,,,,,
29,CohortsAll,12,Active April 30,,,,,,,,,,
29,CohortsAll,13,Active July 31,,,,,,,,,,
30,Universe,-1,All,,,,,,,,,,
30,Universe,2,Return to continuum 15-730 days after exit to permanent destination,,,,,,,,,,
30,Universe,3,Re-engage with continuum 15-730 days after exit to temporary destination,,,,,,,,,,
30,Universe,4,Re-engage with continuum 15-730 days after exit to unknown destination,,,,,,,,,,
30,Universe,10,Project-level,,,,,,,,,,
30,Universe,11,ES Project Type,,,,,,,,,,
30,Universe,12,SH Project Type,,,,,,,,,,
30,Universe,13,TH Project Type,,,,,,,,,,
30,Universe,14,Housed in RRH,,,,,,,,,,
30,Universe,15,Housed in PSH,,,,,,,,,,
30,Universe,16,ES/SH/TH Project Type,,,,,,,,,,
30,Universe,17,Enrolled in RRH,,,,,,,,,,
30,Universe,18,Enrolled in PSH,,,,,,,,,,
31,HHTypeCalc,0,All,,,,,,,,,,
31,HHTypeCalc,1,AO (adult only),,,,,,,,,,
31,HHTypeCalc,2,AC (adult & child),,,,,,,,,,
31,HHTypeCalc,3,CO (child only),,,,,,,,,,
31,HHTypeCalc,99,UN (unknown),,,,,,,,,,
32,Population,0,All,,,,,,,,,,
32,Population,10,Youth Household 18-21,,,,,,,,,,
32,Population,11,Youth Household 22-24,,,,,,,,,,
32,Population,12,Parenting Youth Household 18-24,,,,,,,,,,
32,Population,13,Veteran Household,,,,,,,,,,
32,Population,14,Non-Veteran Household 25+,,,,,,,,,,
32,Population,15,Chronically Homeless Household,,,,,,,,,,
32,Population,16,Long-Term Homeless,,,,,,,,,,
32,Population,17,Annual Inflow Homeless,,,,,,,,,,
32,Population,18,Household with Disabled Adult/HoH,,,,,,,,,,
32,Population,19,Household Fleeing Domestic Violence,,,,,,,,,,
32,Population,20,First Time Homeless Household,,,,,,,,,,
32,Population,21,Household Returning After Exit to PH,,,,,,,,,,
32,Population,22,Household Placed in PSH during Report Period,,,,,,,,,,
32,Population,23,"American Indian, Alaska Native, or Indigenous (only) HoH",,,,,,,,,,
32,Population,24,"American Indian, Alaska Native, or Indigenous & Hispanic/Latina/e/o HoH",,,,,,,,,,
32,Population,25,Asian or Asian American (only) HoH,,,,,,,,,,
32,Population,26,Asian or Asian American & Hispanic/Latina/e/o HoH,,,,,,,,,,
32,Population,27,"Black, African American, or African (only) HoH",,,,,,,,,,
32,Population,28,"Black, African American, or African & Hispanic/Latina/e/o HoH",,,,,,,,,,
32,Population,29,Hispanic/Latina/e/o (only) HoH,,,,,,,,,,
32,Population,30,Middle Eastern or North African (only) HoH,,,,,,,,,,
32,Population,31,Middle Eastern or North African & Hispanic/Latina/e/o HoH,,,,,,,,,,
32,Population,32,Native Hawaiian or Pacific Islander (only) HoH,,,,,,,,,,
32,Population,33,Native Hawaiian or Pacific Islander & Hispanic/Latina/e/o HoH,,,,,,,,,,
32,Population,34,White (only) HoH,,,,,,,,,,
32,Population,35,White & Hispanic/Latina/e/o HoH,,,,,,,,,,
32,Population,36,Multi-Racial (not Hispanic/Latina/e/o) HoH,,,,,,,,,,
32,Population,37,Multi-Racial & Hispanic/Latina/e/o) HoH,,,,,,,,,,
32,Population,38,"American Indian, Alaska Native, or Indigenous (any combination) HoH",,,,,,,,,,
32,Population,39,Asian or Asian American (any combination) HoH,,,,,,,,,,
32,Population,40,"Black, African American, or African & Any Other (any combination) HoH",,,,,,,,,,
32,Population,41,Hispanic/Latina/e/o (any combination) HoH,,,,,,,,,,
32,Population,42,Middle Eastern or North African & Any Other (any combination) HoH,,,,,,,,,,
32,Population,43,Native Hawaiian or Pacific Islander & Any Other (any combination) HoH,,,,,,,,,,
32,Population,44,White (any combination) HoH,,,,,,,,,,
32,Population,45,Senior Household 55+,,,,,,,,,,
32,Population,46,Parenting Child Household,,,,,,,,,,
32,Population,47,Household with 3+ Children,,,,,,,,,,
32,Population,48,Domestic Violence Survivors Not Identified as Currently Fleeing,,,,,,,,,,
32,Population,50,Veteran,,,,,,,,,,
32,Population,51,Parenting Youth 18-24 ,,,,,,,,,,
32,Population,52,Parenting Child,,,,,,,,,,
32,Population,53,Chronically Homeless Adult/HoH,,,,,,,,,,
32,Population,54,Disabled Adult/HoH,,,,,,,,,,
32,Population,55,Fleeing Domestic Violence,,,,,,,,,,
32,Population,56,"American Indian, Alaska Native, or Indigenous (only)",,,,,,,,,,
32,Population,57,"American Indian, Alaska Native, or Indigenous & Hispanic/Latina/e/o",,,,,,,,,,
32,Population,58,Asian or Asian American (only),,,,,,,,,,
32,Population,59,Asian or Asian American & Hispanic/Latina/e/o,,,,,,,,,,
32,Population,60,"Black, African American, or African (only)",,,,,,,,,,
32,Population,61,"Black, African American, or African & Hispanic/Latina/e/o",,,,,,,,,,
32,Population,62,Hispanic/Latina/e/o (only),,,,,,,,,,
32,Population,63,Middle Eastern or North African (only),,,,,,,,,,
32,Population,64,Middle Eastern or North African & Hispanic/Latina/e/o,,,,,,,,,,
32,Population,65,Native Hawaiian or Pacific Islander (only),,,,,,,,,,
32,Population,66,Native Hawaiian or Pacific Islander & Hispanic/Latina/e/o,,,,,,,,,,
32,Population,67,White (only),,,,,,,,,,
32,Population,68,White & Hispanic/Latina/e/o,,,,,,,,,,
32,Population,69,Multi-Racial (not Hispanic/Latina/e/o),,,,,,,,,,
32,Population,70,Multi-Racial & Hispanic/Latina/e/o),,,,,,,,,,
32,Population,71,"American Indian, Alaska Native, or Indigenous (any combination)",,,,,,,,,,
32,Population,72,Asian or Asian American (any combination),,,,,,,,,,
32,Population,73,"Black, African American, or African & Any Other (any combination)",,,,,,,,,,
32,Population,74,Hispanic/Latina/e/o (any combination),,,,,,,,,,
32,Population,75,Middle Eastern or North African & Any Other (any combination),,,,,,,,,,
32,Population,76,Native Hawaiian or Pacific Islander & Any Other (any combination),,,,,,,,,,
32,Population,77,White (any combination),,,,,,,,,,
32,Population,86,Less than 1 year,,,,,,,,,,
32,Population,87,1 to 2 years,,,,,,,,,,
32,Population,88,3 to 5 years,,,,,,,,,,
32,Population,89,6 to 17 years,,,,,,,,,,
32,Population,90,18 to 21 years,,,,,,,,,,
32,Population,91,22 to 24 years,,,,,,,,,,
32,Population,92,25 to 34 years,,,,,,,,,,
32,Population,93,35 to 44 years,,,,,,,,,,
32,Population,94,45 to 54 years,,,,,,,,,,
32,Population,95,55 to 64 years,,,,,,,,,,
32,Population,96,65 and older,,,,,,,,,,
32,Population,97,Domestic Violence Survivors Not Identified as Currently Fleeing,,,,,,,,,,
32,Population,1015,Youth Household 18-21 - Chronically Homeless Household,,,,,,,,,,
32,Population,1018,Youth Household 18-21 - Household with Disabled Adult/HoH,,,,,,,,,,
32,Population,1019,Youth Household 18-21 - Household Fleeing Domestic Violence,,,,,,,,,,
32,Population,1020,Youth Household 18-21 - First Time Homeless Household,,,,,,,,,,
32,Population,1021,Youth Household 18-21 - Household Returning After Exit to PH,,,,,,,,,,
32,Population,1022,Youth Household 18-21 - Household Placed in PSH during Report Period,,,,,,,,,,
32,Population,1023,"Youth Household 18-21 - American Indian, Alaska Native, or Indigenous (only) HoH",,,,,,,,,,
32,Population,1024,"Youth Household 18-21 - American Indian, Alaska Native, or Indigenous & Hispanic/Latina/e/o HoH",,,,,,,,,,
32,Population,1025,Youth Household 18-21 - Asian or Asian American (only) HoH,,,,,,,,,,
32,Population,1026,Youth Household 18-21 - Asian or Asian American & Hispanic/Latina/e/o HoH,,,,,,,,,,
32,Population,1027,"Youth Household 18-21 - Black, African American, or African (only) HoH",,,,,,,,,,
32,Population,1028,"Youth Household 18-21 - Black, African American, or African & Hispanic/Latina/e/o HoH",,,,,,,,,,
32,Population,1029,Youth Household 18-21 - Hispanic/Latina/e/o (only) HoH,,,,,,,,,,
32,Population,1030,Youth Household 18-21 - Middle Eastern or North African (only) HoH,,,,,,,,,,
32,Population,1031,Youth Household 18-21 - Middle Eastern or North African & Hispanic/Latina/e/o HoH,,,,,,,,,,
32,Population,1032,Youth Household 18-21 - Native Hawaiian or Pacific Islander (only) HoH,,,,,,,,,,
32,Population,1033,Youth Household 18-21 - Native Hawaiian or Pacific Islander & Hispanic/Latina/e/o HoH,,,,,,,,,,
32,Population,1034,Youth Household 18-21 - White (only) HoH,,,,,,,,,,
32,Population,1035,Youth Household 18-21 - White & Hispanic/Latina/e/o HoH,,,,,,,,,,
32,Population,1036,Youth Household 18-21 - Multi-Racial (not Hispanic/Latina/e/o) HoH,,,,,,,,,,
32,Population,1037,Youth Household 18-21 - Multi-Racial & Hispanic/Latina/e/o) HoH,,,,,,,,,,
32,Population,1038,"Youth Household 18-21 - American Indian, Alaska Native, or Indigenous (any combination) HoH",,,,,,,,,,
32,Population,1039,Youth Household 18-21 - Asian or Asian American (any combination) HoH,,,,,,,,,,
32,Population,1040,"Youth Household 18-21 - Black, African American, or African & Any Other (any combination) HoH",,,,,,,,,,
32,Population,1041,Youth Household 18-21 - Hispanic/Latina/e/o (any combination) HoH,,,,,,,,,,
32,Population,1042,Youth Household 18-21 - Middle Eastern or North African & Any Other (any combination) HoH,,,,,,,,,,
32,Population,1043,Youth Household 18-21 - Native Hawaiian or Pacific Islander & Any Other (any combination) HoH,,,,,,,,,,
32,Population,1044,Youth Household 18-21 - White (any combination) HoH,,,,,,,,,,
32,Population,1048,Youth Household 18-21 - Domestic Violence Survivors Not Identified as Currently Fleeing,,,,,,,,,,
32,Population,1115,Youth Household 22-24 - Chronically Homeless Household,,,,,,,,,,
32,Population,1118,Youth Household 22-24 - Household with Disabled Adult/HoH,,,,,,,,,,
32,Population,1119,Youth Household 22-24 - Household Fleeing Domestic Violence,,,,,,,,,,
32,Population,1120,Youth Household 22-24 - First Time Homeless Household,,,,,,,,,,
32,Population,1121,Youth Household 22-24 - Household Returning After Exit to PH,,,,,,,,,,
32,Population,1122,Youth Household 22-24 - Household Placed in PSH during Report Period,,,,,,,,,,
32,Population,1123,"Youth Household 22-24 - American Indian, Alaska Native, or Indigenous (only) HoH",,,,,,,,,,
32,Population,1124,"Youth Household 22-24 - American Indian, Alaska Native, or Indigenous & Hispanic/Latina/e/o HoH",,,,,,,,,,
32,Population,1125,Youth Household 22-24 - Asian or Asian American (only) HoH,,,,,,,,,,
32,Population,1126,Youth Household 22-24 - Asian or Asian American & Hispanic/Latina/e/o HoH,,,,,,,,,,
32,Population,1127,"Youth Household 22-24 - Black, African American, or African (only) HoH",,,,,,,,,,
32,Population,1128,"Youth Household 22-24 - Black, African American, or African & Hispanic/Latina/e/o HoH",,,,,,,,,,
32,Population,1129,Youth Household 22-24 - Hispanic/Latina/e/o (only) HoH,,,,,,,,,,
32,Population,1130,Youth Household 22-24 - Middle Eastern or North African (only) HoH,,,,,,,,,,
32,Population,1131,Youth Household 22-24 - Middle Eastern or North African & Hispanic/Latina/e/o HoH,,,,,,,,,,
32,Population,1132,Youth Household 22-24 - Native Hawaiian or Pacific Islander (only) HoH,,,,,,,,,,
32,Population,1133,Youth Household 22-24 - Native Hawaiian or Pacific Islander & Hispanic/Latina/e/o HoH,,,,,,,,,,
32,Population,1134,Youth Household 22-24 - White (only) HoH,,,,,,,,,,
32,Population,1135,Youth Household 22-24 - White & Hispanic/Latina/e/o HoH,,,,,,,,,,
32,Population,1136,Youth Household 22-24 - Multi-Racial (not Hispanic/Latina/e/o) HoH,,,,,,,,,,
32,Population,1137,Youth Household 22-24 - Multi-Racial & Hispanic/Latina/e/o) HoH,,,,,,,,,,
32,Population,1138,"Youth Household 22-24 - American Indian, Alaska Native, or Indigenous (any combination) HoH",,,,,,,,,,
32,Population,1139,Youth Household 22-24 - Asian or Asian American (any combination) HoH,,,,,,,,,,
32,Population,1140,"Youth Household 22-24 - Black, African American, or African & Any Other (any combination) HoH",,,,,,,,,,
32,Population,1141,Youth Household 22-24 - Hispanic/Latina/e/o (any combination) HoH,,,,,,,,,,
32,Population,1142,Youth Household 22-24 - Middle Eastern or North African & Any Other (any combination) HoH,,,,,,,,,,
32,Population,1143,Youth Household 22-24 - Native Hawaiian or Pacific Islander & Any Other (any combination) HoH,,,,,,,,,,
32,Population,1144,Youth Household 22-24 - White (any combination) HoH,,,,,,,,,,
32,Population,1148,Youth Household 22-24 - Domestic Violence Survivors Not Identified as Currently Fleeing,,,,,,,,,,
32,Population,1190,Age 18-21 in AO Youth Household,,,,,,,,,,
32,Population,1191,Age 22-24 in AO Youth Household,,,,,,,,,,
32,Population,1215,Parenting Youth Household 18-24 - Chronically Homeless Household,,,,,,,,,,
32,Population,1218,Parenting Youth Household 18-24 - Household with Disabled Adult/HoH,,,,,,,,,,
32,Population,1219,Parenting Youth Household 18-24 - Household Fleeing Domestic Violence,,,,,,,,,,
32,Population,1220,Parenting Youth Household 18-24 - First Time Homeless Household,,,,,,,,,,
32,Population,1221,Parenting Youth Household 18-24 - Household Returning After Exit to PH,,,,,,,,,,
32,Population,1222,Parenting Youth Household 18-24 - Household Placed in PSH during Report Period,,,,,,,,,,
32,Population,1223,"Parenting Youth Household 18-24 - American Indian, Alaska Native, or Indigenous (only) HoH",,,,,,,,,,
32,Population,1224,"Parenting Youth Household 18-24 - American Indian, Alaska Native, or Indigenous & Hispanic/Latina/e/o HoH",,,,,,,,,,
32,Population,1225,Parenting Youth Household 18-24 - Asian or Asian American (only) HoH,,,,,,,,,,
32,Population,1226,Parenting Youth Household 18-24 - Asian or Asian American & Hispanic/Latina/e/o HoH,,,,,,,,,,
32,Population,1227,"Parenting Youth Household 18-24 - Black, African American, or African (only) HoH",,,,,,,,,,
32,Population,1228,"Parenting Youth Household 18-24 - Black, African American, or African & Hispanic/Latina/e/o HoH",,,,,,,,,,
32,Population,1229,Parenting Youth Household 18-24 - Hispanic/Latina/e/o (only) HoH,,,,,,,,,,
32,Population,1230,Parenting Youth Household 18-24 - Middle Eastern or North African (only) HoH,,,,,,,,,,
32,Population,1231,Parenting Youth Household 18-24 - Middle Eastern or North African & Hispanic/Latina/e/o HoH,,,,,,,,,,
32,Population,1232,Parenting Youth Household 18-24 - Native Hawaiian or Pacific Islander (only) HoH,,,,,,,,,,
32,Population,1233,Parenting Youth Household 18-24 - Native Hawaiian or Pacific Islander & Hispanic/Latina/e/o HoH,,,,,,,,,,
32,Population,1234,Parenting Youth Household 18-24 - White (only) HoH,,,,,,,,,,
32,Population,1235,Parenting Youth Household 18-24 - White & Hispanic/Latina/e/o HoH,,,,,,,,,,
32,Population,1236,Parenting Youth Household 18-24 - Multi-Racial (not Hispanic/Latina/e/o) HoH,,,,,,,,,,
32,Population,1237,Parenting Youth Household 18-24 - Multi-Racial & Hispanic/Latina/e/o) HoH,,,,,,,,,,
32,Population,1238,"Parenting Youth Household 18-24 - American Indian, Alaska Native, or Indigenous (any combination) HoH",,,,,,,,,,
32,Population,1239,Parenting Youth Household 18-24 - Asian or Asian American (any combination) HoH,,,,,,,,,,
32,Population,1240,"Parenting Youth Household 18-24 - Black, African American, or African & Any Other (any combination) HoH",,,,,,,,,,
32,Population,1241,Parenting Youth Household 18-24 - Hispanic/Latina/e/o (any combination) HoH,,,,,,,,,,
32,Population,1242,Parenting Youth Household 18-24 - Middle Eastern or North African & Any Other (any combination) HoH,,,,,,,,,,
32,Population,1243,Parenting Youth Household 18-24 - Native Hawaiian or Pacific Islander & Any Other (any combination) HoH,,,,,,,,,,
32,Population,1244,Parenting Youth Household 18-24 - White (any combination) HoH,,,,,,,,,,
32,Population,1248,Parenting Youth Household 18-24 - Domestic Violence Survivors Not Identified as Currently Fleeing,,,,,,,,,,
32,Population,1290,Age 18-21 in AC Parenting Youth Household,,,,,,,,,,
32,Population,1291,Age 22-24 in AC Parenting Youth Household,,,,,,,,,,
32,Population,1315,Veteran Household - Chronically Homeless Household,,,,,,,,,,
32,Population,1318,Veteran Household - Household with Disabled Adult/HoH,,,,,,,,,,
32,Population,1319,Veteran Household - Household Fleeing Domestic Violence,,,,,,,,,,
32,Population,1320,Veteran Household - First Time Homeless Household,,,,,,,,,,
32,Population,1321,Veteran Household - Household Returning After Exit to PH,,,,,,,,,,
32,Population,1322,Veteran Household - Household Placed in PSH during Report Period,,,,,,,,,,
32,Population,1323,"Veteran Household - American Indian, Alaska Native, or Indigenous (only) HoH",,,,,,,,,,
32,Population,1324,"Veteran Household - American Indian, Alaska Native, or Indigenous & Hispanic/Latina/e/o HoH",,,,,,,,,,
32,Population,1325,Veteran Household - Asian or Asian American (only) HoH,,,,,,,,,,
32,Population,1326,Veteran Household - Asian or Asian American & Hispanic/Latina/e/o HoH,,,,,,,,,,
32,Population,1327,"Veteran Household - Black, African American, or African (only) HoH",,,,,,,,,,
32,Population,1328,"Veteran Household - Black, African American, or African & Hispanic/Latina/e/o HoH",,,,,,,,,,
32,Population,1329,Veteran Household - Hispanic/Latina/e/o (only) HoH,,,,,,,,,,
32,Population,1330,Veteran Household - Middle Eastern or North African (only) HoH,,,,,,,,,,
32,Population,1331,Veteran Household - Middle Eastern or North African & Hispanic/Latina/e/o HoH,,,,,,,,,,
32,Population,1332,Veteran Household - Native Hawaiian or Pacific Islander (only) HoH,,,,,,,,,,
32,Population,1333,Veteran Household - Native Hawaiian or Pacific Islander & Hispanic/Latina/e/o HoH,,,,,,,,,,
32,Population,1334,Veteran Household - White (only) HoH,,,,,,,,,,
32,Population,1335,Veteran Household - White & Hispanic/Latina/e/o HoH,,,,,,,,,,
32,Population,1336,Veteran Household - Multi-Racial (not Hispanic/Latina/e/o) HoH,,,,,,,,,,
32,Population,1337,Veteran Household - Multi-Racial & Hispanic/Latina/e/o) HoH,,,,,,,,,,
32,Population,1338,"Veteran Household - American Indian, Alaska Native, or Indigenous (any combination) HoH",,,,,,,,,,
32,Population,1339,Veteran Household - Asian or Asian American (any combination) HoH,,,,,,,,,,
32,Population,1340,"Veteran Household - Black, African American, or African & Any Other (any combination) HoH",,,,,,,,,,
32,Population,1341,Veteran Household - Hispanic/Latina/e/o (any combination) HoH,,,,,,,,,,
32,Population,1342,Veteran Household - Middle Eastern or North African & Any Other (any combination) HoH,,,,,,,,,,
32,Population,1343,Veteran Household - Native Hawaiian or Pacific Islander & Any Other (any combination) HoH,,,,,,,,,,
32,Population,1344,Veteran Household - White (any combination) HoH,,,,,,,,,,
32,Population,1345,Veteran Household - Senior Household 55+,,,,,,,,,,
32,Population,1347,Veteran Household - Household with 3+ Children,,,,,,,,,,
32,Population,1348,Veteran Household - Domestic Violence Survivors Not Identified as Currently Fleeing,,,,,,,,,,
32,Population,1415,Non-Veteran Household 25+ - Chronically Homeless Household,,,,,,,,,,
32,Population,1418,Non-Veteran Household 25+ - Household with Disabled Adult/HoH,,,,,,,,,,
32,Population,1419,Non-Veteran Household 25+ - Household Fleeing Domestic Violence,,,,,,,,,,
32,Population,1420,Non-Veteran Household 25+ - First Time Homeless Household,,,,,,,,,,
32,Population,1421,Non-Veteran Household 25+ - Household Returning After Exit to PH,,,,,,,,,,
32,Population,1422,Non-Veteran Household 25+ - Household Placed in PSH during Report Period,,,,,,,,,,
32,Population,1423,"Non-Veteran Household 25+ - American Indian, Alaska Native, or Indigenous (only) HoH",,,,,,,,,,
32,Population,1424,"Non-Veteran Household 25+ - American Indian, Alaska Native, or Indigenous & Hispanic/Latina/e/o HoH",,,,,,,,,,
32,Population,1425,Non-Veteran Household 25+ - Asian or Asian American (only) HoH,,,,,,,,,,
32,Population,1426,Non-Veteran Household 25+ - Asian or Asian American & Hispanic/Latina/e/o HoH,,,,,,,,,,
32,Population,1427,"Non-Veteran Household 25+ - Black, African American, or African (only) HoH",,,,,,,,,,
32,Population,1428,"Non-Veteran Household 25+ - Black, African American, or African & Hispanic/Latina/e/o HoH",,,,,,,,,,
32,Population,1429,Non-Veteran Household 25+ - Hispanic/Latina/e/o (only) HoH,,,,,,,,,,
32,Population,1430,Non-Veteran Household 25+ - Middle Eastern or North African (only) HoH,,,,,,,,,,
32,Population,1431,Non-Veteran Household 25+ - Middle Eastern or North African & Hispanic/Latina/e/o HoH,,,,,,,,,,
32,Population,1432,Non-Veteran Household 25+ - Native Hawaiian or Pacific Islander (only) HoH,,,,,,,,,,
32,Population,1433,Non-Veteran Household 25+ - Native Hawaiian or Pacific Islander & Hispanic/Latina/e/o HoH,,,,,,,,,,
32,Population,1434,Non-Veteran Household 25+ - White (only) HoH,,,,,,,,,,
32,Population,1435,Non-Veteran Household 25+ - White & Hispanic/Latina/e/o HoH,,,,,,,,,,
32,Population,1436,Non-Veteran Household 25+ - Multi-Racial (not Hispanic/Latina/e/o) HoH,,,,,,,,,,
